,Descargá este archivo para editar haciendo click en Archivo/Descargar/Descargar como Excel,Lista de Precios,,,,Coef.costo,"0,63000",,Bonficacion General,"30,00 %"
,,,,,,Aumento,,,Descuento de Caja,"10,00 %"
,,Cotizador General,,,,Margen,,,IVA,
,,,,,,Coef./vta,"1,00000",,Descuento Extra,
,,1 de abril de 2026,,,,COTIZADOR,,,Total,"0,00"
Cód.,Rubro,Detalle Patron,Detalle Artículo,Precio,,Dto Extra,Costo,Venta,Cant.,SubTotal
92060,A01 AWADUCT SIST,BOCA ACCESO,HOR. AWADUCT 2/E ABIER 110.63*,"6623,29",,,"4172,67","4.172,67",,"0,00"
92139,A01 AWADUCT SIST,BOCA ACCESO,LOSA ACANALADA 5E 40X110,"9586,42",,,"6039,44","6.039,44",,"0,00"
92159,A01 AWADUCT SIST,BOCA ACCESO,LOSA ACANALADA 5E 50/63X110,"10058,36",,,"6336,77","6.336,77",,"0,00"
92260,A01 AWADUCT SIST,BOCA ACCESO,HOR.AWAD.45º 110X63,"7087,28",,,"4464,99","4.464,99",,"0,00"
92460,A01 AWADUCT SIST,BOCA ACCESO,HOR. AWADUCT 3/E CERR 110.63,"7285,85",,,"4590,09","4.590,09",,"0,00"
92539,A01 AWADUCT SIST,BOCA ACCESO,COC. LOSA 5E 40x110/63 INTEMP,"8919,54",,,"5619,31","5.619,31",,"0,00"
92552,A01 AWADUCT SIST,BOCA ACCESO,COCINA 63X50 INTEMPERIE. AWA.,"8042,99",,,"5067,08","5.067,08",,"0,00"
92559,A01 AWADUCT SIST,BOCA ACCESO,COC. LOSA 5E 50x110/63 INTEMP,"9359,05",,,"5896,20","5.896,20",,"0,00"
93038,A01 AWADUCT SIST,BOCA ACCESO,VERTICAL AWADUCT 110.63,"14799,78",,,"9323,86","9.323,86",,"0,00"
96030,A01 AWADUCT SIST,BOCA ACCESO,160 AWADUCT OCTOG.MH 110,"51348,68",,,"32349,67","32.349,67",,"0,00"
98838,A01 AWADUCT SIST,BOCA ACCESO,TERRA HORIZONTAL 110X63,"6620,99",,,"4171,22","4.171,22",,"0,00"
98855,A01 AWADUCT SIST,BOCA ACCESO,160 TERRA OCTOG.H-HC 118,"47324,15",,,"29814,21","29.814,21",,"0,00"
92110,A01 AWADUCT SIST,BOCA.ACC Y PIL PAT. 3E EX CHAT,40 x 63 C/Sifón desm.,"7234,74",,,"4557,89","4.557,89",,"0,00"
92111,A01 AWADUCT SIST,BOCA.ACC Y PIL PAT. 3E EX CHAT,63 X 110,"7109,57",,,"4479,03","4.479,03",,"0,00"
92080,A01 AWADUCT SIST,BUJE RED.AWADUCT MH,63.40,"1035,73",,,"652,51","652,51",,"0,00"
92081,A01 AWADUCT SIST,BUJE RED.AWADUCT MH,63.50,"1053,64",,,"663,79","663,79",,"0,00"
92082,A01 AWADUCT SIST,BUJE RED.AWADUCT MH,110.40,"2357,93",,,"1485,50","1.485,50",,"0,00"
92083,A01 AWADUCT SIST,BUJE RED.AWADUCT MH,110.50,"2462,68",,,"1551,49","1.551,49",,"0,00"
92084,A01 AWADUCT SIST,BUJE RED.AWADUCT MH,110.63,"2584,62",,,"1628,31","1.628,31",,"0,00"
92085,A01 AWADUCT SIST,BUJE RED.AWADUCT MH,75X40,"1348,4",,,"849,49","849,49",,"0,00"
92087,A01 AWADUCT SIST,BUJE RED.AWADUCT MH,110.75,"3594,61",,,"2264,60","2.264,60",,"0,00"
92101,A01 AWADUCT SIST,BUJE RED.AWADUCT MH,50.40,"951,34",,,"599,34","599,34",,"0,00"
92256,A01 AWADUCT SIST,BUJE RED.AWADUCT MH,40.32,"920,91",,,"580,17","580,17",,"0,00"
98854,A01 AWADUCT SIST,BUJE TRANSICION TERRA AWA,110 H x  118 M,"3000,63",,,"1890,40","1.890,40",,"0,00"
94149,A01 AWADUCT SIST,CAMARA DESENGRASADORA,FILTRO DIFUSOR,"44868,86",,,"28267,38","28.267,38",,"0,00"
96070,A01 AWADUCT SIST,CAMARA DESENGRASADORA,160º C/SIFON DESMOTABLE 3E,"90574,26",,,"57061,78","57.061,78",,"0,00"
92191,A01 AWADUCT SIST,CAMARA INSPECCION,COJINETE 3E 110A - 2E 63C,"19438,12",,,"12246,02","12.246,02",,"0,00"
92193,A01 AWADUCT SIST,CAMARA INSPECCION,REPUESTO TAPA REJILLA,"8816,48",,,"5554,38","5.554,38",,"0,00"
92195,A01 AWADUCT SIST,CAMARA INSPECCION,REPUESTO TAPA CIEGA,"14571,93",,,"9180,32","9.180,32",,"0,00"
92196,A01 AWADUCT SIST,CAMARA INSPECCION,PORTAREJILLA REJILLA 200HHC,"24984,41",,,"15740,18","15.740,18",,"0,00"
92197,A01 AWADUCT SIST,CAMARA INSPECCION,PORTAR.CIEGA 200HHC(INCL.2198),"26344,78",,,"16597,21","16.597,21",,"0,00"
92198,A01 AWADUCT SIST,CAMARA INSPECCION,CONTRATAPA HERMETICA,"4369,1",,,"2752,53","2.752,53",,"0,00"
92199,A01 AWADUCT SIST,CAMARA INSPECCION,CONJ.COJINETE200PROL/PORT.CIEG,"55201,2",,,"34776,76","34.776,76",,"0,00"
94123,A01 AWADUCT SIST,CAMARA INSPECCION,O´RING M.O.L DE 3 LABIO  Ø400,"7516,09",,,"4735,14","4.735,14",,"0,00"
97725,A01 AWADUCT SIST,CAMARA INSPECCION,PROLONG.200x0.25M,"10222,66",,,"6440,28","6.440,28",,"0,00"
97727,A01 AWADUCT SIST,CAMARA INSPECCION,PROLONG.200x1M,"13080,82",,,"8240,92","8.240,92",,"0,00"
98853,A01 AWADUCT SIST,CAMARA INSPECCION,TAPA H 118 MM,"1519,81",,,"957,48","957,48",,"0,00"
98857,A01 AWADUCT SIST,CAMARA INSPECCION,COJINETE INSP. H-HC 3ENT.(400),"57668,41",,,"36331,10","36.331,10",,"0,00"
98858,A01 AWADUCT SIST,CAMARA INSPECCION,TAPON REP. C/O'RING M.O.L. 118,"2255,26",,,"1420,81","1.420,81",,"0,00"
98859,A01 AWADUCT SIST,CAMARA INSPECCION,BASE P/CAMARA 60X60,"28420,27",,,"17904,77","17.904,77",,"0,00"
98860,A01 AWADUCT SIST,CAMARA INSPECCION,PROLONGADOR C.60x60 10CM TERRA,"24899,59",,,"15686,74","15.686,74",,"0,00"
98862,A01 AWADUCT SIST,CAMARA INSPECCION,CONTRATAPA CAMARA 60x60,"22529,4",,,"14193,52","14.193,52",,"0,00"
98870,A01 AWADUCT SIST,CAMARA INSPECCION,COJINETE MH(incluye 1Tapon)177,"83359,41",,,"52516,43","52.516,43",,"0,00"
98871,A01 AWADUCT SIST,CAMARA INSPECCION,TAPON REPUESTO CON O´RING 177,"7768,43",,,"4894,11","4.894,11",,"0,00"
98873,A01 AWADUCT SIST,CAMARA INSPECCION,PROLONGADOR Ø400,"58790,39",,,"37037,95","37.037,95",,"0,00"
98874,A01 AWADUCT SIST,CAMARA INSPECCION,CUPLA  Ø400,"15704,06",,,"9893,56","9.893,56",,"0,00"
98875,A01 AWADUCT SIST,CAMARA INSPECCION,PORTAREJILLA  400X400,"82001,32",,,"51660,83","51.660,83",,"0,00"
98876,A01 AWADUCT SIST,CAMARA INSPECCION,TAPA 400X400,"36777,71",,,"23169,96","23.169,96",,"0,00"
98877,A01 AWADUCT SIST,CAMARA INSPECCION,REJA 400X400,"26588,94",,,"16751,03","16.751,03",,"0,00"
92065,A01 AWADUCT SIST,CAÑO CAMARA,AWADUCT 110*,"7936,93",,,"5000,27","5.000,27",,"0,00"
92565,A01 AWADUCT SIST,CAÑO CAMARA,AWADUCT 110* INTEMPERIE,"9123,12",,,"5747,57","5.747,57",,"0,00"
96054,A01 AWADUCT SIST,CAÑO CAMARA,AWADUCT 160,"34484,42",,,"21725,18","21.725,18",,"0,00"
94180,A01 AWADUCT SIST,CINTA AWADUCT,GRAMPLAFLEX 14MM,"50654,02",,,"31912,03","31.912,03",,"0,00"
94181,A01 AWADUCT SIST,CINTA AWADUCT,GRAMPAFLEX 18MM,"108704,49",,,"68483,83","68.483,83",,"0,00"
94182,A01 AWADUCT SIST,CINTA AWADUCT,HEBILLA P/GRAMPA,"223,78",,,"140,98","140,98",,"0,00"
94183,A01 AWADUCT SIST,CINTA AWADUCT,GRAMPAF 32 A 110X14(mm)x25MT,"16714,97",,,"10530,43","10.530,43",,"0,00"
94184,A01 AWADUCT SIST,CINTA AWADUCT,GRAMPAF 32 A 110x14(mm)x50MT,"30391,92",,,"19146,91","19.146,91",,"0,00"
94110,A01 AWADUCT SIST,CLAK,110,"3244,73",,,"2044,18","2.044,18",,"0,00"
94111,A01 AWADUCT SIST,CLAK,160,"4208,23",,,"2651,18","2.651,18",,"0,00"
92001,A01 AWADUCT SIST,CODO AWADUCT,45° MH 40**,"644,13",,,"405,80","405,80",,"0,00"
92002,A01 AWADUCT SIST,CODO AWADUCT,45° MH 50,"921,98",,,"580,85","580,85",,"0,00"
92003,A01 AWADUCT SIST,CODO AWADUCT,45° MH 63*,"1548,93",,,"975,83","975,83",,"0,00"
92004,A01 AWADUCT SIST,CODO AWADUCT,45° MH 110**,"3332,4",,,"2099,41","2.099,41",,"0,00"
92005,A01 AWADUCT SIST,CODO AWADUCT,87°30MH 40**,"696,71",,,"438,93","438,93",,"0,00"
92006,A01 AWADUCT SIST,CODO AWADUCT,87°30MH 50,"921,98",,,"580,85","580,85",,"0,00"
92007,A01 AWADUCT SIST,CODO AWADUCT,87°30MH 63*,"1635,59",,,"1030,42","1.030,42",,"0,00"
92008,A01 AWADUCT SIST,CODO AWADUCT,87°30MH 110*,"3619,87",,,"2280,52","2.280,52",,"0,00"
92009,A01 AWADUCT SIST,CODO AWADUCT,87°30 MH 75,"2273,29",,,"1432,17","1.432,17",,"0,00"
92017,A01 AWADUCT SIST,CODO AWADUCT,87°30 MH 110 C/BASE,"4811,87",,,"3031,48","3.031,48",,"0,00"
92040,A01 AWADUCT SIST,CODO AWADUCT,45° HH  40*,"818,16",,,"515,44","515,44",,"0,00"
